SKU,Produto,Marca,Categoria,Preço Unitário,Custo Unitário
HL1001,Smart TV 50' 4K,LG,Televisão,2600,1700
HL1002,iPhone 7,Apple,Celular,2500,1500
HL1003,Galaxy S10,Samsung,Celular,4500,2800
HL1004,Apple Watch,Apple,Smart Watch,1750,900
HL1005,Câmera Digital Rebel T6,Canon,Câmera,1500,850
HL1006,TV LED 32',Samsung,Televisão,1400,900
HL1007,Inspiron 15,Dell,Notebook,2300,1200
HL1008,Smart TV LED Full HD 55',Philco,Televisão,2000,1250
HL1009,Moto G7,Motorola,Celular,1400,750
HL1010,iPhone 6S,Apple,Celular,1900,1150
HL1011,Tablet M10 Android,Samsung,Tablet,2000,1100
HL1012,Dell G7,Dell,Notebook,5500,3200
HL1013,Câmera Coolpix L340,Nikon,Câmera,1550,700
HL1014,Galaxy J8,Samsung,Celular,1100,550
HL1015,Câmera Digital Sony Cyber,Sony,Câmera,700,300
HL1016,Smart Watch Galaxy,Samsung,Smart Watch,1450,700
HL1017,Smart TV 75' 4K,Samsung,Televisão,5200,3500
HL1018,Smart Watch MI,Xiaomi,Smart Watch,1200,650
HL1019,iPhone XS,Apple,Celular,6500,2800
HL1020,Moto Z,Motorola,Celular,1500,650
HL1021,Galaxy S8,Samsung,Celular,3000,1400
HL1022,iPad 32GB Wifi,Apple,Tablet,750,350
HL1023,Samsung Dual Core,Samsung,Notebook,1500,550
HL1024,Aspire 5,Acer,Notebook,2400,1150
